	canvas	id	label	entityId	creator	title
576	https://github.com/n1kg0r/ds-project-dhdk/Canvas_301	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p30	v	entity-31		
585	https://github.com/n1kg0r/ds-project-dhdk/Canvas_301	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p14	BO0451_CAM6537_0030_p.XXVI.jpg	entity-272		
594	https://github.com/n1kg0r/ds-project-dhdk/Canvas_301	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p14	v	entity-272		
603	https://github.com/n1kg0r/ds-project-dhdk/Canvas_272	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p1	BO0451_CAM6537_0001_piatto anteriore.jpg	entity-2		
612	https://github.com/n1kg0r/ds-project-dhdk/Canvas_272	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p1	r	entity-2		
621	https://github.com/n1kg0r/ds-project-dhdk/Canvas_272	https://dl.ficlit.unibo.it/iiif/2/19428/canvas/p1	BO0451_CAM6537_0001_piatto anteriore.jpg	entity-242		
630	https://github.com/n1kg0r/ds-project-dhdk/Canvas_272	https://dl.ficlit.unibo.it/iiif/2/19428/canvas/p1	r	entity-242		
639	https://github.com/n1kg0r/ds-project-dhdk/Canvas_389	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p118	BO0451_CAM6537_0118_np.jpg	entity-119		
648	https://github.com/n1kg0r/ds-project-dhdk/Canvas_427	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p156	BO0451_CAM6537_0156_p.76.jpg	entity-157		
657	https://github.com/n1kg0r/ds-project-dhdk/Canvas_463	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p192	BO0451_CAM6537_0192_p.100.jpg	entity-193		
666	https://github.com/n1kg0r/ds-project-dhdk/Canvas_425	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p154	BO0451_CAM6537_0154_p.74.jpg	entity-155		
675	https://github.com/n1kg0r/ds-project-dhdk/Canvas_497	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p226	BO0451_CAM6537_0226_p.[130].jpg	entity-227		
684	https://github.com/n1kg0r/ds-project-dhdk/Canvas_443	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p172	BO0451_CAM6537_0172_p.84.jpg	entity-173		
693	https://github.com/n1kg0r/ds-project-dhdk/Canvas_413	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p142	BO0451_CAM6537_0142_p.66.jpg	entity-143		
702	https://github.com/n1kg0r/ds-project-dhdk/Canvas_500	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p229	BO0451_CAM6537_0229_foglio di guardia.jpg	entity-230		
711	https://github.com/n1kg0r/ds-project-dhdk/Canvas_461	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p190	BO0451_CAM6537_0190_tavola verso.jpg	entity-191		
720	https://github.com/n1kg0r/ds-project-dhdk/Canvas_474	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p203	BO0451_CAM6537_0203_p.111.jpg	entity-204		
729	https://github.com/n1kg0r/ds-project-dhdk/Canvas_353	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p82	BO0451_CAM6537_0082_np.jpg	entity-83		
738	https://github.com/n1kg0r/ds-project-dhdk/Canvas_499	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p228	BO0451_CAM6537_0228_foglio di guardia.jpg	entity-229		
747	https://github.com/n1kg0r/ds-project-dhdk/Canvas_465	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p194	BO0451_CAM6537_0194_p.102.jpg	entity-195		
756	https://github.com/n1kg0r/ds-project-dhdk/Canvas_361	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p90	BO0451_CAM6537_0090_p.28.jpg	entity-91		
765	https://github.com/n1kg0r/ds-project-dhdk/Canvas_401	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p130	BO0451_CAM6537_0130_np.jpg	entity-131		
774	https://github.com/n1kg0r/ds-project-dhdk/Canvas_480	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p209	BO0451_CAM6537_0209_tavola recto.jpg	entity-210		
783	https://github.com/n1kg0r/ds-project-dhdk/Canvas_308	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p37	BO0451_CAM6537_0037_tavola recto.jpg	entity-38		
792	https://github.com/n1kg0r/ds-project-dhdk/Canvas_328	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p57	BO0451_CAM6537_0057_p.3.jpg	entity-58		
801	https://github.com/n1kg0r/ds-project-dhdk/Canvas_454	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p183	BO0451_CAM6537_0183_p.95.jpg	entity-184		
810	https://github.com/n1kg0r/ds-project-dhdk/Canvas_495	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p224	BO0451_CAM6537_0224_p.128.jpg	entity-225		
819	https://github.com/n1kg0r/ds-project-dhdk/Canvas_367	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p96	BO0451_CAM6537_0096_p.34.jpg	entity-97		
